file,jd,date,year,phase,epoch,instrument,exptime,continuum_color,vmag_nearest,vmag_dt_days,Hbeta_peak,Hbeta_ew,HeI_NaD_peak,HeI_NaD_ew,Halpha_peak,Halpha_ew
000-BBW-825_CDZ_2461187.4340625.FITS,2461187.4340625,2026-05-26,2026.399819349315,0.5485305498333233,23.548530549833323,RC14 + UVEX_600 + Atik460EX,4200,2.4015481306923334,10.29,-0.0008625001646578312,0.7902651602909918,-3.1434505905614194,1.0707601936247044,-3.6856075712654732,1.851407824869104,10.320544582512287
000-BBW-825_CDZ_2461188.45055556.FITS,2461188.45055556,2026-05-27,2026.4026042618086,0.5529976144449655,23.552997614444966,RC14 + UVEX_600 + Atik460EX,6000,2.132741010428616,10.183,0.000724439974874258,0.8009027245381277,-2.9292239164714395,1.073334438054137,-3.360821374536614,1.9600232283775063,11.541362228121454
000-BBW-825_CDZ_2461189.47515046.FITS,2461189.47515046,2026-05-28,2026.4054113711231,0.557500283274937,23.557500283274937,RC14 + UVEX_600 + Atik460EX,6000,1.9457943183258697,10.132,-0.000430460087954998,0.8010204914564271,-2.8357809425236997,1.0352252327049623,-3.8411361254348586,1.863981860646733,10.424046938937812
000-BBW-825_CDZ_2461190.44373843.FITS,2461190.44373843,2026-05-29,2026.408065036794,0.5617568249210763,23.561756824921076,RC14 + UVEX_600 + Atik460EX,4200,1.9448448923007833,10.2134,-0.007578429765999317,0.7847784259204524,-3.085605587967763,1.077339563334771,-3.313321431475063,2.007313447973483,11.74866737567787
000-BBW-825_CDZ_2461191.44298611.FITS,2461191.44298611,2026-05-30,2026.4108027016719,0.5661481032548004,23.5661481032548,RC14 + UVEX_600 + Atik460EX,5400,2.2837984848421926,10.157,6.388965994119644e-05,0.7957744758805582,-2.9174838638072513,1.0807197842770453,-3.3787933417050584,1.916555175082566,11.23224620714659
000-BBW-825_CDZ_2461193.45704861.FITS,2461193.45704861,2026-06-01,2026.416320681123,0.5749990710285537,23.574999071028554,RC14 + UVEX_600 + Atik460EX,5400,2.4024203497466354,10.178,0.0010313899256289005,0.7737459168031028,-3.211937852979757,1.13368252885238,-3.1132393234206104,2.3042011037475896,13.511534578735766
000-BBW-825_CDZ_2461195.56392361.FITS,2461195.56392361,2026-06-04,2026.422092941397,0.5842579111749089,23.58425791117491,RC14 + UVEX_600 + Atik460EX,6000,2.1873962077687836,10.067,0.0007063900120556355,0.776685356047454,-3.195201053631245,1.0696605927410958,-4.114886818568599,1.8449758957471616,9.772673552673321
000-BBW-825_CDZ_2461196.55655093.FITS,2461196.55655093,2026-06-05,2026.4248124683008,0.588620095775056,23.588620095775056,RC14 + UVEX_600 + Atik460EX,6000,2.1260291168002126,10.04,0.0010290700010955334,0.7806489264886604,-3.088672104425019,1.037916634283842,-4.23335219814256,1.7240295278600792,9.249143799768872
000-BBW-825_CDZ_2461197.56081019.FITS,2461197.56081019,2026-06-06,2026.4275638635347,0.5930333979201876,23.593033397920188,RC14 + UVEX_600 + Atik460EX,6000,2.0970815909324094,10.082,0.0007298099808394909,0.7719337372366574,-3.1519307371306065,1.1232923016081564,-3.3876963375989657,1.9755882665142672,11.950136526148311
000-BBW-825_CDZ_2461198.5544213.FITS,2461198.5544213,2026-06-07,2026.4302860857536,0.5973999058687127,23.597399905868713,RC14 + UVEX_600 + Atik460EX,6000,2.009313214474197,10.097,0.0006887000054121017,0.7579689262299315,-3.258935345808717,1.0701592211826219,-3.760409013309458,1.890133601121472,10.680517522279859
000-BBW-825_CDZ_2461199.55543981.FITS,2461199.55543981,2026-06-08,2026.4330286022187,0.6017989662614411,23.60179896626144,RC14 + UVEX_600 + Atik460EX,6000,2.0429831643014364,10.073,0.0009201900102198124,0.7716711073943523,-3.2110224512056047,1.0621991891112321,-3.9305735783854803,1.8370503606229556,10.184194955306774
000-BBW-825_CDZ_2461200.55642361.FITS,2461200.55642361,2026-06-09,2026.4357710235893,0.606197874120511,23.60619787412051,RC14 + UVEX_600 + Atik460EX,6000,1.9826587426853641,10.095,0.0007163900882005692,0.7805815241443498,-3.021520697937302,1.0392928001114028,-4.099462763604391,1.7380293580384611,9.583200482396709
000-BBW-825_CDZ_2461204.54.FITS,2461204.54,2026-06-13,2026.446684931507,0.623704037041648,23.623704037041648,RC14 + UVEX_600 + Atik460EX,6000,1.9784322597948643,10.043,0.0007299999706447124,0.7734279639382878,-3.204238911301025,1.0711377517045,-3.928321380371753,2.087531013915363,11.75949897897962
000-BBW-825_CDZ_2461205.54554398.FITS,2461205.54554398,2026-06-14,2026.4494398465201,0.6281229849948957,23.628122984994896,RC14 + UVEX_600 + Atik460EX,6000,2.097217945374175,10.056,-0.0049649798311293125,0.7668253684121623,-3.2352442157477186,1.0834305598797132,-3.927974399274258,1.9980496935230536,11.182611454569095
000-BBW-825_CDZ_2461209.51818287.FITS,2461209.51818287,2026-06-18,2026.460323788685,0.6455810821492598,23.64558108214926,RC14 + UVEX_600 + Atik460EX,3600,1.978359203105926,9.968,-0.011402870062738657,0.7688739786254526,-3.104182854102284,1.1089028132689336,-4.29738728009698,2.1495691702595066,11.596467873180156
